endpoint	dataset	graph	count
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/decide	368
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dermlex	42884
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dermo	64855
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dfo	94
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dhmo	14920
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/diab	11943
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/diagont	615
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dideo	13848
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dikb	2920
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dilon	5122
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dinto	1148018
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/disdriv	1035
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dloro	2965
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dmdsont	3577
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/doccc	762
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/doid	350004
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/doremus-keys	728
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/doves	287064
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dpo	44608
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dranpto	3825
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dreamdnpto	7506
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dron	10372752
